City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,chikwawa,-16.0335,34.8009,31.51,18,1,1.4,MW,1694970116
187,dalandzadgad,43.5708,104.425,9.71,50,5,3.86,MN,1694970116
188,badger,64.8,-147.5333,7.77,89,100,1.34,US,1694970116
189,sao tome,0.3365,6.7273,25.32,80,90,5.82,ST,1694970117
190,nuku'alofa,-21.1333,-175.2,22.62,80,64,8.61,TO,1694970117
191,smithers,54.7804,-127.1743,12.18,62,75,3.6,CA,1694970117
192,moose jaw,50.4001,-105.5344,22.14,28,0,4.12,CA,1694969978
193,barquisimeto,10.0739,-69.3228,26.35,69,98,5.14,VE,1694969942
194,hanak,41.2336,42.8472,9.24,91,22,2.72,TR,1694970117
195,kavaratti,10.5669,72.642,27.5,82,65,4.27,IN,1694970118
196,hindoria,23.9,79.5667,22.89,94,29,2.95,IN,1694970118
197,kavieng,-2.5744,150.7967,27.2,76,7,5.45,PG,1694970118
198,itamaraca,-7.7478,-34.8256,29.18,56,50,6.44,BR,1694970118
199,itoman,26.1247,127.6694,26.01,89,100,3.09,JP,1694970119
200,richards bay,-28.783,32.0377,17.18,71,100,1.93,ZA,1694970119
201,bamboo flat,11.7,92.7167,26.08,90,100,6.85,IN,1694970119
202,port saint john's,-31.6229,29.5448,15.15,64,12,0.43,ZA,1694970119
203,longyearbyen,78.2186,15.6401,-2.09,93,100,5.14,SJ,1694970119
204,broome,42.2506,-75.833,17.89,82,0,0.89,US,1694970120
205,khonsa,27.0167,95.5667,20.45,95,1,2.24,IN,1694969927
206,lihue,21.9789,-159.3672,25.77,76,40,6.69,US,1694970120
207,kapuskasing,49.4169,-82.4331,10.05,93,100,4.63,CA,1694970120
208,alexandroupoli,40.8475,25.8744,25.9,53,40,6.69,GR,1694970120
209,paka,4.6374,103.4368,25.93,87,68,2.6,MY,1694970121
210,weno,7.4515,151.8468,25.97,94,40,0.0,FM,1694970121
211,vilani,56.5525,26.9245,14.54,78,64,2.32,LV,1694969988
212,willowmore,-33.2926,23.4895,11.83,47,1,1.52,ZA,1694970121
213,vila velha,-20.3297,-40.2925,26.97,77,40,7.72,BR,1694969897
214,kuching,1.55,110.3333,26.66,97,40,1.03,MY,1694970074
215,kapa'a,22.0752,-159.319,26.18,79,40,6.69,US,1694970121
216,taltal,-25.4,-70.4833,16.22,79,29,3.63,CL,1694970121
217,sitka,57.0531,-135.33,11.1,93,92,5.09,US,1694970122
218,mari-turek,56.7895,49.6235,10.25,71,20,2.33,RU,1694970122
219,kingston,17.997,-76.7936,31.8,79,61,2.24,JM,1694970122
220,yazman,29.1212,71.7446,32.14,52,4,5.27,PK,1694970122
221,carahue,-38.7,-73.1667,9.97,66,44,2.17,CL,1694970122
222,remire-montjoly,4.9167,-52.2667,33.02,55,75,4.12,GF,1694970122
223,bodden town,19.2833,-81.25,32.18,73,15,2.65,KY,1694970122
